xi=0.01 xi=0.1 xi=1.0 xi=10.0 xi=100.0
1.240079364768102 1.2400793339530916 1.2400762527076101 1.2397706533581065 1.2213874231988244
1.2539184948317772 1.2539184486950132 1.2539138355643717 1.2534578881114349 1.2293804799285049
1.2683916786562077 1.2683916099131194 1.2683847367594052 1.267708697833428 1.2368845538797106
1.2835322798069029 1.2835321778410647 1.283521983681683 1.2825260047927889 1.243895943532834
1.2993762978549441 1.2993761472412537 1.2993610909211668 1.2979036145698135 1.250429182889279
1.3159626244228875 1.3159624028109447 1.3159402520554215 1.3138229249207056 1.2565106366998524
1.3333333300513333 1.333333005135484 1.3333005349884546 1.3302493357991392 1.2621731481976268
1.3515339862837294 1.351533511469618 1.3514860738122476 1.347128908961328 1.2674521514186519
1.370614028099859 1.370613336310599 1.370544246172579 1.3643861968428044 1.272383148546122
1.3906271627015065 1.3906261575278152 1.3905258193815235 1.3819244484201338 1.2770002496509394
1.411631831697485 1.4116303747535544 1.4114850403698376 1.3996293362188708 1.2813354530487966
1.4336917349873701 1.4336896278416194 1.4334796331818145 1.417376668586238 1.2854184022410893
1.4568764261511578 1.456873384490894 1.4565706521163262 1.435043268206142 1.2892764290365386
1.4812619909749998 1.4812576076374997 1.4808221178588445 1.4525188270286205 1.2929347562793805
1.50693182295594 1.5069255149700993 1.50630033748252 1.469715916576401 1.2964167810552105
1.5339775123258732 1.5339684449433626 1.5330727777215662 1.4865759388429223 1.299744391673636
1.5624998684374383 1.5624868459711698 1.5612063280165382 1.5030703207523486 1.3029382927556035
1.592610099416599 1.5925914080713712 1.5907647647847134 1.5191977867564928 1.306018325903606
1.6244311780069527 1.6244043590695032 1.62180523041695 1.534979362305852 1.3090037814547182
1.6580994287665476 1.6580609504466444 1.6543736037317673 1.5504527510253168 1.3119137016315723
1.693766379564011 1.6937111608217217 1.6884988140497486 1.5656672308526638 1.3147671783078585
1.7316009300957709 1.7315216474876538 1.7241864972052958 1.580679631080291 1.3175836504213512
1.7717919024883932 1.7716779776588811 1.7614129389840207 1.5955515140397507 1.320383207338389
1.8145510547270463 1.8143871699137843 1.80012092777076 1.6103474429519238 1.3231869055462961
1.8601166576881576 1.8598805706984993 1.8402196779261086 1.625134127819614 1.326017107167974
1.9087577623312904 1.908417077401778 1.8815909156525474 1.6399802406624506 1.3288978501423134
1.9607793169917094 1.960286693191669 1.9241020790837775 1.654956730514973 1.3318552616558939
2.0165283382636674 2.01581435150655 1.9676254037989422 1.6701375185041594 1.3349180287343065
2.0764013961854775 2.0753638680485436 2.012059332289375 1.685600500680709 1.3381179430057475
2.140853750194467 2.1393417493089575 2.0573475970490094 1.7014288270259623 1.3414905408292888
2.2104105733997246 2.2082003902058 2.1034923013041014 1.7177124596920248 1.34507586561414
2.285680838658387 2.2824399146325693 2.150559811187843 1.734550044509918 1.3489193867940026
2.367374624214508 2.3626075611720254 2.1986808130740374 1.7520511603274638 1.3530731203407151
2.4563248484090683 2.449293172107075 2.248047306736747 1.7703390444749156 1.357597010043031
2.553514789448656 2.5431192457443585 2.298909413093821 1.7895539338886255 1.3625606487217612
2.6601132261951443 2.6447246800072675 2.351574215301629 1.8098572156251551 1.3680454466108791
2.7775197041639093 2.7547436322845744 2.4064080707573066 1.8314366552563879 1.3741473941587492
2.907423363372008 2.8737857514914245 2.463843319112949 1.8545130781596286 1.380980624420423
3.051880062855422 3.002431214574576 2.5243901878552943 1.8793490343236063 1.388682065438722
3.213414325466484 3.141260362684516 2.5886549508081935 1.9062602096083558 1.3974176006976353
3.3951550307867033 3.2909367805528063 2.6573660111179085 1.935630700891612 1.4073903509366157
3.6010168468452415 3.452349646995804 2.731410619215113 1.9679338259431864 1.4188519957502748
3.835942854466689 3.626802210344217 2.8118865904201367 2.0037610248646445 1.4321185424259002
4.106226625220899 3.816225634654287 2.900176063201675 2.043862868577938 1.4475927553855632
4.419931473702459 4.023413883750383 2.998052829226284 2.0892086684752194 1.4657968304089977
4.787416162301686 4.2523107490499426 3.1078426199761138 2.141075547359845 1.4874213148744082
5.221959940020596 4.508422792932554 3.2326701030594336 2.201185847788648 1.5134007174651847
5.740494510164134 4.799485274454267 3.3768539757483667 2.2719271984165306 1.5450348184851248
6.364674655164996 5.136603177028104 3.5465678494169923 2.3567210601510173 1.5841921852441838
